Movie_ratings,Movie_years,Aspect_Ratio,Movie_actor_1_credit,Actor_1_Oscar_Awards,Actor_1_Other_Awards,Movie_actor_2_credit,Actor_2_Oscar_Awards,Actor_2_Other_Awards,Movie_actor_3_credit,Actor_3_Oscar_Awards,Actor_3_Other_Awards,Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Budget,Revenue,Movie_ratings,Finance_Ratio,Finance_Label
6.8,2014,1.85,66,0,16,99,0,1,18,0,5,2,0,2,65000000.00,13750556.00,6.8,0.21,FLOP
8.1,2014,2.35,23,0,2,39,0,17,11,0,1,90,0,68,61000000.00,167735396.00,8.1,2.75,BLOCKBUSTER
6.2,2014,2.35,124,0,4,23,0,6,31,0,1,15,0,33,60000000.00,50549107.00,6.2,0.84,FLOP
6.8,2014,1.85,3,0,0,436,0,11,39,0,5,3,0,10,60000000.00,50807639.00,6.8,0.85,FLOP
6.4,2013,2.35,68,0,64,20,0,2,105,0,25,19,1,8,215000000.00,89289910.00,6.4,0.42,FLOP
7,2013,2.35,15,0,1,56,0,1,80,0,7,16,0,5,225000000.00,291021565.00,7,1.29,AVERAGE
7.8,2013,2.35,10,0,3,4,0,0,64,0,10,20,3,136,225000000.00,258355354.00,7.8,1.15,HIT
7.2,2013,2.35,79,0,33,57,0,6,75,0,36,1,0,4,200000000.00,408992272.00,7.2,2.04,BLOCKBUSTER
6.3,2013,2.35,20,0,0,55,0,12,72,0,51,32,0,14,215000000.00,234903076.00,6.3,1.09,HIT
7,2013,2.35,103,1,10,66,2,83,31,0,0,10,0,6,190000000.00,202351611.00,7,1.07,HIT
7.7,2013,2.35,43,0,28,112,0,6,36,0,6,11,0,25,190000000.00,228756232.00,7.7,1.2,HIT
6.2,2013,2.35,92,0,7,76,0,3,91,0,0,11,0,18,195000000.00,65171860.00,6.2,0.33,FLOP
7.2,2013,2.35,41,1,82,15,0,4,61,0,2,13,0,35,105000000.00,144812796.00,7.2,1.38,AVERAGE
6.9,2013,1.85,16,0,3,88,0,5,33,0,0,12,2,97,190000000.00,101785482.00,6.9,0.54,FLOP
6.3,2013,2.35,72,0,10,104,0,1,9,0,0,5,0,0,175000000.00,38297305.00,6.3,0.22,FLOP
7.4,2013,2.24,34,0,8,298,0,13,9,0,2,2,1,12,150000000.00,400736600.00,7.4,2.67,BLOCKBUSTER
6.9,2013,2.35,17,0,10,55,1,77,119,1,52,30,0,8,170000000.00,206360018.00,6.9,1.21,HIT
6.4,2013,2.35,31,0,17,44,0,0,78,0,0,16,0,19,150000000.00,73103784.00,6.4,0.49,FLOP
5.8,2013,2.35,31,0,17,46,0,11,18,0,0,12,0,2,130000000.00,122512052.00,5.8,0.94,FLOP
6.4,2013,2.35,51,0,16,135,0,6,29,0,3,3,0,0,135000000.00,83024900.00,6.4,0.61,FLOP
7.5,2013,2.35,24,0,98,34,0,16,58,0,1,78,0,5,130000000.00,424645577.00,7.5,3.27,BLOCKBUSTER
4.8,2013,2.35,58,0,51,30,0,3,178,0,3,9,0,16,130000000.00,60522097.00,4.8,0.47,FLOP
5.6,2013,2.35,51,0,16,80,1,38,24,0,1,7,0,15,130000000.00,33592415.00,5.6,0.26,FLOP
