Distributor,Theaters_x,Movie_years,Movie_budget,Movie_aspect_ratio,Movie_runtime,Movie_director,Movie_director_credit,Movie_director_awords_Oscars,Movie_director_awords_win,Movie_director_awords_nominations,Movie_actor_1_name,Movie_actor_1_credit,Movie_actor_1_awords_Oscars,Movie_actor_1_awords_win,Movie_actor_1_awords_nominations,Movie_actor_2_name,Movie_actor_2_credit,Movie_actor_2_awords_Oscars,Movie_actor_2_awords_win,Movie_actor_2_awords_nominations,Movie_actor_3_name,Movie_actor_3_credit,Movie_actor_3_awords_Oscars,Movie_actor_3_awords_win,Movie_actor_3_awords_nominations,Movie_music_names,Movie_music_credit,Movie_music_awords_Oscars,Movie_music_awords_win,Movie_music_awords_nominations,Movie_writter_names,Movie_writter_credit,Movie_writter_awords_Oscars,Movie_writter_awords_wins,Movie_writter_awords_nominations,Movie_cinematography_name,Movie_cinematography_credit,Movie_cinematography_aword_Oscars,Movie_cinematography_aword_win,Movie_cinematography_aword_nominations,Movie_costume_name,Movie_costume_credit,Movie_costume_aword_Oscars,Movie_costume_aword_win,Movie_costume_aword_nominations
29,3239,2012,50000000,1.85,106,400,8,1,15,50,290,46,2,14,68,457,0,1,5,51,672,38,1,15,1,220,17,1,0,2,543,15,1,15,50,221,33,0,1,4,100,68,3,0,3
26,3924,2013,120000000,2.39,126,182,11,2,3,19,167,38,1,23,93,613,0,0,0,0,626,0,0,0,0,131,43,2,11,30,386,7,0,0,0,293,11,0,2,1,151,48,1,2,6
26,3396,2012,130000000,2.39,124,367,39,4,35,85,329,0,1,4,9,449,36,2,69,139,122,0,1,57,1,129,25,0,4,5,318,1,0,0,4,61,53,0,1,29,163,23,1,2,13
29,3175,2008,75000000,2.39,110,445,11,0,11,19,185,28,1,6,24,461,87,1,51,66,36,0,1,44,1,44,73,4,67,88,415,4,0,0,0,232,4,0,0,0,392,4,0,0,0
16,3081,2010,20000000,1.78,95,193,10,0,0,0,229,18,0,0,14,46,13,0,0,3,649,8,0,1,0,9,5,0,0,0,272,9,0,0,0,191,31,0,0,0,335,0,0,0,2
31,3535,2013,105000000,2.39,143,29,13,1,27,43,276,0,0,0,0,194,3,0,0,0,27,195,0,83,0,39,24,1,5,4,49,11,1,27,43,307,10,0,5,13,61,13,4,33,25
29,3279,2014,18000000,2.35,97,314,4,0,2,8,387,55,1,6,28,547,0,2,6,22,213,0,0,0,0,144,5,0,3,1,31,3,0,0,1,30,73,0,2,2,228,25,0,0,1
30,3603,2010,260000000,1.85,100,308,1,0,1,4,285,0,1,0,13,671,22,0,3,20,196,0,0,2,0,3,22,8,36,86,120,6,3,3,8,332,0,0,1,4,316,0,3,0,7
16,3561,2014,165000000,2.39,169,74,12,5,132,217,126,0,1,34,65,433,54,1,41,78,463,0,0,4,0,75,107,1,115,238,325,6,1,3,27,125,19,1,13,94,264,37,3,0,24
30,3451,2010,170000000,2.39,125,232,1,0,0,1,198,77,1,37,101,202,7,0,4,7,569,0,0,24,0,209,1,0,6,7,176,7,3,1,9,48,17,1,13,16,64,4,0,0,1
