Aspect_Ratio,Movie_actor_1_credit,Actor_1_Oscar_Awards,Actor_1_Other_Awards,Movie_actor_2_credit,Actor_2_Oscar_Awards,Actor_2_Other_Awards,Movie_actor_3_credit,Actor_3_Oscar_Awards,Actor_3_Other_Awards,Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Movie_writter_credit,Movie_Writter_Oscar_Awards,Music_Writter_Other_Awards,Movie_music_credit,Music_Oscar_Awards,Music_Other_Awards,Movie_cinematography_credit,Cinematograpy_Oscar_Awards,Cinematograpy_Other_Awards,Budget,Movie_ratings,IMDb_Label
2.35,38,0,42,17,0,0,55,0,6,12,0,2,12,0,2,9,1,9,22,1,4,36,1,18,178000000.00,7.9,CLASS-4
2.35,54,1,50,10,0,1,10,0,7,0,2,19,0,2,19,31,0,1,95,0,68,74,1,14,180000000.00,7,CLASS-3
1.85,83,1,47,122,0,0,18,0,3,10,0,2,10,0,2,8,0,0,30,1,80,28,0,2,170000000.00,7.6,CLASS-4
2.35,56,0,51,37,0,6,40,0,0,16,0,7,16,0,7,8,0,5,17,0,11,11,0,0,170000000.00,7.7,CLASS-4
2.39,15,0,0,16,0,5,78,0,1,1,1,1,1,1,1,0,0,0,17,0,11,3,0,1,165000000.00,7.8,CLASS-4
2.35,43,0,38,28,0,4,39,0,16,13,0,15,13,0,15,22,0,15,19,0,6,0,0,0,170000000.00,8,CLASS-4
2.35,54,1,37,40,1,51,14,0,4,12,0,137,12,0,137,6,0,10,107,1,121,19,0,16,165000000.00,8.6,CLASS-4
1.85,31,0,12,22,0,5,9,0,4,14,0,1,14,0,1,14,0,2,87,0,80,0,0,3,145000000.00,6.8,CLASS-3
2.35,43,1,69,31,0,7,65,0,12,41,0,44,41,0,44,0,0,0,20,0,43,55,0,1,140000000.00,6,CLASS-2
2.35,46,0,3,39,0,13,43,0,21,4,0,8,4,0,8,10,0,8,17,0,41,2,0,0,145000000.00,7.8,CLASS-4
1.85,50,0,26,35,0,1,94,0,2,7,0,7,7,0,7,5,0,1,69,0,8,0,0,0,132000000.00,6.7,CLASS-3
1.85,121,1,46,17,0,19,21,0,7,13,0,41,13,0,41,6,0,41,16,0,12,59,0,14,125000000.00,5.7,CLASS-2
1.85,105,1,58,19,1,14,93,0,14,32,0,4,32,0,4,2,0,0,74,0,43,41,1,8,127000000.00,6.2,CLASS-2
2.35,26,1,102,60,1,81,36,0,19,79,0,5,79,0,5,1,0,0,95,0,68,28,0,1,125000000.00,6.6,CLASS-3
2.35,20,0,4,42,0,0,41,0,1,2,0,3,2,0,3,3,0,5,21,0,7,11,0,5,110000000.00,6.2,CLASS-2
2.35,40,0,1,69,0,47,71,0,42,4,0,2,4,0,2,26,0,61,64,0,16,27,0,0,90000000.00,6.1,CLASS-2
2.35,81,1,41,39,0,11,62,0,5,1,0,11,1,0,11,6,0,0,45,0,18,60,0,5,95000000.00,5.5,CLASS-2
2.35,70,0,68,103,1,53,93,0,5,0,1,26,0,1,26,0,0,0,27,1,33,15,0,0,100000000.00,6.3,CLASS-2
2.35,54,1,79,10,0,3,48,0,5,6,0,4,6,0,4,4,0,1,21,0,7,36,0,4,85000000.00,6.7,CLASS-3
2.35,46,0,0,91,0,0,8,0,0,13,0,2,13,0,2,5,0,1,18,0,9,56,0,1,80000000.00,5.5,CLASS-2
2.35,72,0,45,67,0,0,98,0,10,5,2,91,5,2,91,3,2,91,57,2,99,53,0,10,70000000.00,6.1,CLASS-2
