Movie_years,Aspect_Ratio,Movie_actor_1_credit,Actor_1_Oscar_Awards,Actor_1_Other_Awards,Movie_actor_2_credit,Actor_2_Oscar_Awards,Actor_2_Other_Awards,Movie_actor_3_credit,Actor_3_Oscar_Awards,Actor_3_Other_Awards,Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Budget,IMDb_Label
2013,2.35,31,0,17,44,0,0,78,0,0,16,0,19,150000000,CLASS-2
2013,2.35,31,0,17,46,0,11,18,0,0,12,0,2,130000000,CLASS-2
2013,2.35,51,0,16,135,0,6,29,0,3,3,0,0,135000000,CLASS-2
2013,2.35,24,0,98,34,0,16,58,0,1,78,0,5,130000000,CLASS-3
2013,2.35,58,0,51,30,0,3,178,0,3,9,0,16,130000000,CLASS-1
2013,2.35,51,0,16,80,1,38,24,0,1,7,0,15,130000000,CLASS-2
2013,2.35,62,1,29,5,0,1,26,0,12,10,0,14,115000000,CLASS-3
2013,2.35,99,1,57,37,0,42,78,0,6,2,0,0,120000000,CLASS-3
2013,2.35,38,0,24,4,0,0,9,0,0,11,0,11,120000000,CLASS-3
2013,2.35,51,0,16,38,1,67,66,1,44,1,0,0,135000000,CLASS-3
2013,2.35,36,0,0,1,0,0,7,0,0,22,4,231,100000000,CLASS-4
2013,1.85,28,0,17,27,0,2,44,0,2,9,0,0,105000000,CLASS-2
2013,2.35,67,0,38,19,0,0,27,0,0,9,0,29,110000000,CLASS-3
2013,2.35,41,1,82,52,1,34,57,0,8,53,1,5,100000000,CLASS-4
2013,1.85,96,0,17,38,0,1,43,0,0,6,1,166,92000000,CLASS-2
2013,2.35,80,0,2,73,0,0,40,0,0,14,0,0,90000000,CLASS-3
2013,2.35,20,0,5,32,0,1,28,0,1,10,0,3,90000000,CLASS-2
2018,2.35,110,0,17,132,1,37,174,0,0,37,1,6,84000000,CLASS-3
2013,1.85,132,0,22,51,0,53,76,0,1,36,1,4,80000000,CLASS-2
2013,2.35,8,0,0,44,0,1,12,0,0,7,2,4,80000000,CLASS-2
2013,2.35,51,0,1,21,0,0,4,0,0,0,0,0,78000000,CLASS-2
2010,1.85,39,0,29,34,0,2,70,0,14,3,0,22,76000000,CLASS-4
2013,2.35,99,1,57,33,1,14,49,0,1,10,0,1,75000000,CLASS-3
2013,2.35,66,0,52,106,0,6,31,0,0,23,0,5,50000000,CLASS-3
2012,2.35,37,0,16,40,1,57,60,0,22,11,0,121,250000000,CLASS-4
2012,2.35,56,0,2,45,0,14,44,0,1,7,2,34,263700000,CLASS-3
2012,1.85,14,0,17,78,0,33,53,0,61,11,0,25,220000000,CLASS-4
2012,1.85,56,0,49,22,0,8,37,0,1,19,0,7,225000000,CLASS-3
2012,2.35,41,1,62,18,0,13,14,0,0,52,0,7,230000000,CLASS-3
2012,2.35,82,0,18,38,0,10,76,0,14,13,0,3,209000000,CLASS-2
2012,2.35,63,0,18,62,0,3,35,0,3,6,1,55,200000000,CLASS-4
2020,2.35,55,0,18,167,0,1,84,0,23,5,1,6,185000000,CLASS-3
2012,2.35,14,0,12,45,0,34,5,0,3,3,1,2,170000000,CLASS-2
2012,2.35,32,0,2,103,0,4,57,0,2,10,1,19,165000000,CLASS-4
2012,1.85,82,0,17,19,0,7,17,0,4,6,0,2,150000000,CLASS-2
2012,1.85,65,0,58,64,0,17,270,0,31,32,0,27,100000000,CLASS-2
2012,1.85,38,0,4,71,0,8,43,0,10,6,0,7,145000000,CLASS-3
2012,1.85,36,0,22,3,0,0,19,0,0,5,1,16,145000000,CLASS-3
2012,2.35,15,0,34,45,0,37,19,0,19,15,1,18,120000000,CLASS-2
2012,2.35,37,0,26,88,0,0,166,0,9,2,0,3,125000000,CLASS-3
2012,1.85,13,0,3,37,0,2,74,0,27,20,2,102,120000000,CLASS-4
2012,2.35,36,0,54,17,1,51,43,0,3,38,0,44,130000000,CLASS-3
2012,2.35,40,1,67,99,2,67,33,0,0,18,2,147,100000000,CLASS-4
2012,2.35,34,0,1,64,0,47,90,0,21,16,0,2,92000000,CLASS-3
2012,2.35,65,2,69,25,0,2,123,1,23,17,0,39,102000000,CLASS-3
2012,1.85,78,0,12,24,0,1,59,0,0,11,0,4,95000000,CLASS-2
2012,2.35,50,0,18,28,0,8,33,0,22,8,0,1,95000000,CLASS-3
2012,1.85,130,0,21,49,0,49,72,0,1,20,0,7,85000000,CLASS-3
2012,2.35,50,2,68,49,0,11,54,0,6,7,0,3,85000000,CLASS-3
2012,1.85,58,1,41,68,0,7,63,0,9,10,0,6,85000000,CLASS-2
2012,2.35,35,0,1,11,0,14,36,0,1,10,0,3,35000000,CLASS-3
2012,2.35,22,1,78,29,0,11,25,0,1,2,0,8,78000000,CLASS-3
2012,1.85,29,0,14,44,0,9,36,0,5,8,0,0,79000000,CLASS-2
2012,2.35,5,0,3,110,0,5,50,0,0,10,0,6,70000000,CLASS-2
2012,2.35,48,0,0,5,0,0,6,0,0,19,0,3,75000000,CLASS-2
2012,2.35,44,0,0,35,0,2,12,0,0,13,0,11,69000000,CLASS-2
2012,2.35,60,0,16,124,0,11,136,0,3,54,2,167,65000000,CLASS-3
2012,1.85,36,1,17,18,1,14,38,1,68,15,1,35,61000000,CLASS-4
2012,2.35,47,0,4,59,0,0,38,0,0,10,0,3,65000000,CLASS-2
