Distributor,Theaters,Movie_years,Movie_budget,Movie_aspect_ratio,Movie_runtime,Movie_ratings,Movie_director,Movie_director_credit,Movie_director_awords_Oscars,Movie_director_awords_win,Movie_director_awords_nominations,Movie_actor_1_name,Movie_actor_1_credit,Movie_actor_1_awords_Oscars,Movie_actor_1_awords_win,Movie_actor_1_awords_nominations,Movie_actor_2_name,Movie_actor_2_credit,Movie_actor_2_awords_Oscars,Movie_actor_2_awords_win,Movie_actor_2_awords_nominations,Movie_actor_3_name,Movie_actor_3_credit,Movie_actor_3_awords_Oscars,Movie_actor_3_awords_win,Movie_actor_3_awords_nominations,Movie_music_names,Movie_music_credit,Movie_music_awords_Oscars,Movie_music_awords_win,Movie_music_awords_nominations,Movie_writter_names,Movie_writter_credit,Movie_writter_awords_Oscars,Movie_writter_awords_wins,Movie_writter_awords_nominations,Movie_cinematography_name,Movie_cinematography_credit,Movie_cinematography_aword_Oscars,Movie_cinematography_aword_win,Movie_cinematography_aword_nominations,Movie_costume_name,Movie_costume_credit,Movie_costume_aword_Oscars,Movie_costume_aword_win,Movie_costume_aword_nominations,Movie_awords_win,Movie_awords_nominations,Movie_awords_oscars
30,4362,2007,300000000,2.39,169,7.1,162,17,1,9,12,228,52,3,63,134,210,39,1,31,66,570,19,0,28,0,75,75,1,108,231,579,28,1,3,13,61,45,0,1,29,315,29,1,3,18,22,49,2
30,4028,2010,200000000,1.78,103,8.2,263,4,2,16,19,414,57,2,77,186,628,34,1,11,24,349,0,2,6,2,177,19,2,34,107,304,14,1,25,21,180,0,0,1,1,159,0,0,0,0,59,95,2
5,4234,2009,200000000,2.39,149,6,289,50,0,9,15,391,37,0,18,58,438,0,0,8,22,378,9,0,3,0,200,31,0,8,3,178,13,0,1,4,22,10,0,0,1,99,31,1,3,6,15,29,1
26,3661,2005,113000000,2.39,140,7.5,157,18,4,44,19,139,36,1,15,38,469,0,1,77,126,273,21,1,9,1,109,173,5,169,323,212,67,4,44,19,76,39,1,0,2,389,17,0,5,6,26,62,1
6,4163,2004,150000000,1.85,93,7.2,11,2,1,7,21,313,35,1,11,26,168,44,1,24,81,100,0,4,12,4,78,33,1,3,20,611,9,0,0,3,230,0,0,3,1,401,0,0,0,1,18,50,2
29,4370,2016,75000000,1.85,87,6.5,66,6,2,0,11,279,31,2,20,82,183,43,3,2,18,415,63,1,12,1,8,67,2,97,268,107,16,0,1,3,180,0,0,1,1,142,0,0,0,0,4,15,0
30,4028,2016,175000000,1.85,106,7.4,219,17,2,4,11,323,2,0,1,6,51,81,1,48,100,61,121,1,42,1,101,99,1,27,21,340,6,0,0,1,25,50,1,3,9,223,31,0,0,4,32,54,1
31,4165,2017,149000000,2.39,141,7.4,328,9,1,9,12,147,0,0,6,20,96,42,1,3,28,147,0,0,5,0,191,27,2,8,4,24,6,2,2,5,215,25,0,1,2,231,48,1,3,23,25,71,0
26,3690,2006,210000000,2.39,104,6.7,44,35,2,6,4,167,18,1,16,86,224,0,1,29,70,283,70,2,38,2,108,11,1,27,57,548,3,1,4,8,59,53,2,6,12,189,25,3,5,15,7,40,0
31,3858,2005,150000000,2.39,157,7.7,303,69,1,14,13,135,69,0,0,1,633,81,2,4,16,175,37,0,29,0,168,8,2,12,40,564,7,1,7,26,288,39,1,1,8,164,54,1,5,12,13,43,1
10,4175,2015,160000000,2.35,137,6.6,136,80,0,5,16,204,0,1,112,178,332,38,0,19,24,446,17,1,0,1,88,99,8,64,92,476,2,0,0,9,154,30,0,1,1,218,19,0,0,5,16,34,0
16,4260,2008,185000000,2.39,122,6.1,427,50,3,176,193,162,61,1,29,27,81,0,2,147,199,393,0,0,11,0,109,192,5,172,326,145,24,0,3,13,140,32,2,23,57,264,28,3,7,31,10,41,1
16,4233,2014,210000000,2.39,165,5.6,289,53,0,9,15,290,52,2,16,70,597,100,1,22,47,408,77,3,19,3,200,34,0,8,3,178,15,0,1,4,9,24,0,0,2,251,32,0,0,0,5,23,0
29,4310,2017,250000000,2.39,136,6.7,133,36,0,7,11,431,36,0,7,38,277,45,0,1,6,201,77,0,15,0,25,72,2,12,17,200,20,0,0,1,312,39,1,3,2,348,39,0,0,2,2,12,0
16,4105,2008,140000000,2.39,126,7.9,219,9,2,9,16,361,67,2,29,102,620,58,1,21,42,329,71,1,35,1,175,18,2,7,13,390,3,1,5,20,216,43,2,1,35,323,5,0,0,2,22,70,2
5,4088,2011,195000000,2.39,154,6.2,289,51,0,9,15,391,40,0,18,58,548,0,0,1,4,378,15,0,3,0,200,31,0,8,3,178,14,0,1,4,9,21,0,0,2,99,34,1,3,6,10,39,3
29,3658,2013,160000000,2.39,130,7,239,12,0,3,7,431,25,0,7,38,497,36,0,7,12,201,62,0,15,0,124,5,0,5,7,95,6,0,0,1,312,35,1,3,2,348,33,0,0,2,10,22,0
31,4374,2019,55000000,1.85,122,8.4,448,14,4,18,50,219,50,1,65,176,535,114,2,61,131,753,0,1,1,1,82,13,1,32,30,586,11,4,18,50,195,38,1,0,18,257,42,2,13,30,110,229,2
30,3938,2014,170000000,2.39,136,7.7,23,16,1,6,16,82,37,0,7,53,564,148,1,35,80,658,0,2,57,2,81,17,0,11,17,104,8,1,4,18,343,11,1,0,3,189,35,3,5,15,5,50,1
30,4080,2014,170000000,2.39,121,8,181,13,0,15,12,85,32,0,17,37,673,0,0,16,61,166,39,0,3,0,217,20,0,6,8,250,22,0,15,12,20,0,0,0,0,6,12,1,7,39,52,100,2
31,4051,2017,300000000,1.78,120,6.3,465,20,0,5,15,40,62,2,67,111,231,18,0,3,12,28,0,6,68,6,44,95,4,76,97,282,106,0,0,1,102,40,2,0,1,284,31,1,0,17,2,13,0
31,3855,2004,130000000,2.39,142,7.9,9,17,4,233,179,102,4,0,15,46,529,70,1,1,3,573,0,0,1,0,109,166,5,168,322,242,7,1,4,10,227,23,1,2,5,164,52,1,5,12,17,51,2
