Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Movie_writter_credit,Movie_Writter_Oscar_Awards,Music_Writter_Other_Awards,Movie_music_credit,Music_Oscar_Awards,Music_Other_Awards,Movie_cinematography_credit,Cinematograpy_Oscar_Awards,Cinematograpy_Other_Awards,Budget,Movie_ratings,IMDb_Label
12,0,2,11,0,2,16,0,11,35,0,3,130000000.00,5.8,CLASS-2
3,0,0,5,0,0,16,0,11,0,0,0,135000000.00,6.4,CLASS-2
78,0,5,14,1,26,94,0,68,27,0,1,130000000.00,7.5,CLASS-3
9,0,16,4,0,0,94,0,68,49,0,9,130000000.00,4.8,CLASS-1
7,0,15,5,0,5,21,0,5,35,0,4,130000000.00,5.6,CLASS-2
10,0,14,5,0,14,2,0,1,10,0,0,115000000.00,6.6,CLASS-3
2,0,0,1,0,0,0,0,10,19,1,24,120000000.00,7,CLASS-3
11,0,11,7,0,0,43,0,18,11,0,2,120000000.00,6.7,CLASS-3
1,0,0,14,0,8,72,0,43,0,0,0,135000000.00,7.2,CLASS-3
22,4,231,10,4,253,40,1,19,36,3,144,100000000.00,7.7,CLASS-4
9,0,0,13,0,0,82,0,6,51,0,3,105000000.00,5.3,CLASS-2
9,0,29,6,0,29,33,0,8,60,0,11,110000000.00,6.6,CLASS-3
53,1,5,8,0,20,0,0,16,0,3,36,100000000.00,8.2,CLASS-4
6,1,166,5,0,1,43,0,18,37,0,2,92000000.00,5.3,CLASS-2
14,0,0,7,0,0,9,0,15,42,0,10,90000000.00,7.3,CLASS-3
10,0,3,13,0,2,33,0,12,60,0,0,90000000.00,5.8,CLASS-2
37,1,6,4,0,0,72,0,43,32,0,7,84000000.00,7.3,CLASS-3
36,1,4,13,0,0,21,0,12,94,0,3,80000000.00,5.4,CLASS-2
7,2,4,9,0,1,4,0,1,0,0,0,80000000.00,5.2,CLASS-2
0,0,0,12,0,6,30,0,21,0,0,2,78000000.00,6.4,CLASS-2
3,0,22,14,0,1,82,0,6,0,0,0,76000000.00,7.6,CLASS-4
10,0,1,16,0,1,57,0,16,13,0,0,75000000.00,7.3,CLASS-3
23,0,5,1,0,0,10,0,5,26,0,0,50000000.00,6.7,CLASS-3
11,0,121,5,0,10,100,1,121,41,1,26,250000000.00,8.4,CLASS-4
7,2,34,13,2,34,26,1,80,16,0,0,263700000.00,6.6,CLASS-3
11,0,25,20,0,25,70,0,43,48,0,13,220000000.00,8,CLASS-4
